epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.2789499999999999,1.5982272291778201,0.001,0.30975,1.5611877487148906
2,0.292975,1.5628983893208899,0.001,0.32025,1.5510069493194076
3,0.29600000000000004,1.559332594240345,0.001,0.313,1.5459927443483406
4,0.3107000000000001,1.5463756898045633,0.001,0.31975,1.53994035055574
5,0.3144249999999998,1.5411461947609524,0.001,0.30375,1.563552529160973
6,0.3208,1.5348905277236,0.001,0.3215,1.5402194568607797
7,0.33514999999999984,1.5146343049373159,0.001,0.3335,1.5196747480920736
8,0.3469500000000001,1.5003472507732627,0.001,0.35125,1.51219267240935
9,0.355775,1.4830538064961452,0.001,0.34775,1.5319213945477803
10,0.37092499999999995,1.4652746610721215,0.001,0.3335,1.5290885270347327
11,0.37949999999999967,1.455691293680909,0.001,0.381,1.4855427033611563
12,0.3892500000000001,1.440026274474382,0.001,0.363,1.5079238936438109
13,0.391,1.4345707442797702,0.001,0.3715,1.4905010902134528
14,0.403725,1.4122115240824558,0.001,0.36775,1.4739782534453036
15,0.40854999999999975,1.4003399336289644,0.001,0.36625,1.4991147827563978
16,0.41412499999999985,1.3952880379552175,0.001,0.37425,1.4741717703032629
17,0.41359999999999963,1.3914267658766508,0.001,0.36875,1.4985543414032436
18,0.4144500000000002,1.3887016330972253,0.001,0.38825,1.4758682906036817
19,0.4238999999999995,1.37421864765251,0.001,0.39125,1.444938090351173
20,0.42454999999999943,1.373172370786304,0.001,0.37875,1.4669412094205485
21,0.43007499999999993,1.3598791108364188,0.001,0.3835,1.469728119829347
22,0.42847500000000005,1.363028202892898,0.001,0.37925,1.4766895017286605
23,0.43247499999999944,1.3552468314865251,0.001,0.4155,1.415791639784877
24,0.43437500000000023,1.3516533620608344,0.001,0.39475,1.4679725015661347
25,0.43967499999999965,1.3405886017165938,0.001,0.4075,1.4327784041050604
26,0.43795000000000023,1.3439075791863606,0.001,0.41025,1.4606931459383021
27,0.44012499999999954,1.3397719881855594,0.001,0.38675,1.4665116279404702
28,0.44127500000000003,1.3320455629664132,0.001,0.3895,1.4674176099094112
29,0.4493749999999998,1.3221738120027553,0.001,0.4155,1.412156333031648
