epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.6040666666666665,1.6528507843487839,0.001,0.948,0.18727235234176315
2,0.7905,0.7351802251411406,0.001,0.976,0.1008937774327144
3,0.8422333333333334,0.5423198971775538,0.001,0.976,0.07173597372343925
4,0.8685333333333333,0.4516990766321817,0.001,0.962,0.10684894557757602
5,0.8885666666666668,0.3662038005302978,0.001,0.948,0.11258114136559391
6,0.8952333333333331,0.3521761830659302,0.001,0.964,0.10776350838417333
7,0.9052333333333334,0.3071228129754045,0.001,0.98,0.07693384046041989
8,0.9137999999999998,0.27967065090069615,0.001,0.978,0.09619877096813768
9,0.9150333333333335,0.2809784321367538,0.001,0.984,0.049255732941138095
10,0.9207333333333335,0.25220204743891883,0.001,0.974,0.11226527073904632
11,0.9213666666666666,0.25008641601779436,0.001,0.988,0.05847355178384698
12,0.9310333333333334,0.22276901283582481,0.001,0.974,0.06967541377950458
13,0.9316666666666668,0.22133541579008653,0.001,0.98,0.08967230973065723
14,0.9332333333333332,0.21141809714523593,0.001,0.99,0.03666675844319251
15,0.9366666666666663,0.2063264727719297,0.001,0.984,0.04380374511353449
16,0.9369,0.20372826900677693,0.001,0.984,0.04194029297443309
17,0.9355666666666664,0.20221465031972777,0.001,0.98,0.0716621954375116
18,0.9375333333333338,0.19763045536811635,0.001,0.982,0.05543439923111458
19,0.9388333333333333,0.1910944017172889,0.001,0.988,0.05608059241901727
20,0.9430999999999998,0.18261534002684843,0.0005,0.976,0.13104491856979816
21,0.9452999999999999,0.16680984909451635,0.0005,0.986,0.061835958252067474
22,0.9454333333333332,0.16698459356170464,0.0005,0.978,0.06821599866267555
23,0.9472666666666665,0.16163477985374566,0.0005,0.982,0.07960797853594064
24,0.9513000000000001,0.15396398974462447,0.0005,0.982,0.09616794590814123
25,0.9521666666666664,0.1511490706819123,0.0005,0.986,0.03799602532565835
26,0.9503333333333334,0.15845934461339362,0.0005,0.984,0.10454603334058357
27,0.9529000000000006,0.14424011593814665,0.0005,0.984,0.055718795229546605
28,0.9494999999999998,0.15922022939688696,0.0005,0.976,0.14876755002774533
29,0.9518999999999997,0.14618385922657243,0.0005,0.976,0.05633392452386175
30,0.9471666666666669,0.16291967398872434,0.0005,0.98,0.08186166394267626
31,0.9513333333333329,0.15767416959274122,0.0005,0.978,0.06068957791513702
32,0.9509666666666664,0.15658862920734629,0.0005,0.99,0.03388281911832022
33,0.9514666666666666,0.14812466929642754,0.0005,0.988,0.03707369860691725
34,0.9517333333333329,0.1526943083228813,0.0005,0.976,0.07533617037502606
35,0.9545333333333333,0.13703790037829652,0.0005,0.984,0.05714374089794937
36,0.9560999999999997,0.1410761273172034,0.0005,0.98,0.11496125807678667
37,0.9528333333333332,0.14276785300547765,0.0005,0.982,0.07166518948452918
38,0.9538666666666665,0.13885152631625222,0.0005,0.99,0.03897415389982209
39,0.9537666666666665,0.13973129369778428,0.0005,0.988,0.023529244912532873
40,0.9577333333333332,0.12441054280348082,0.00025,0.976,0.0690403278192791
