epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
67,0.9814666666666662,0.05397903499322891,0.001,0.974,0.06753486919054608
68,0.9889333333333332,0.03073056786034689,0.001,0.97,0.10599264813726758
69,0.9814666666666664,0.056435052942383115,0.001,0.97,0.1181484217376704
70,0.9834666666666664,0.05599488734197663,0.001,0.962,0.17945369565203578
71,0.9891999999999993,0.03444523477196083,0.001,0.966,0.1441213159046094
72,0.9854666666666663,0.047162315382308265,0.001,0.974,0.11160762882917916
73,0.9882666666666663,0.04241764359189332,0.001,0.978,0.051154162507867654
74,0.9835999999999998,0.053151797495195184,0.0005,0.964,0.13081677092082084
75,0.9866666666666662,0.05196212335891458,0.0005,0.964,0.1567485093041115
76,0.9903999999999997,0.03327219083653158,0.0005,0.978,0.11056325575473823
77,0.9931999999999996,0.021318572144497738,0.0005,0.966,0.09435773857327438
78,0.9871999999999995,0.037255007554048716,0.0005,0.97,0.07319222290892084
79,0.9930666666666664,0.023426461867398888,0.0005,0.982,0.04384023642987143
80,0.9859999999999995,0.04437413851911001,0.0005,0.978,0.06125901457586141
81,0.9886666666666664,0.03866689339844936,0.0005,0.978,0.060253905846511926
82,0.9843999999999998,0.04589995461467072,0.0005,0.982,0.0730827042294972
83,0.9882666666666663,0.05062401250778044,0.0005,0.982,0.057069648191858724
84,0.9843999999999995,0.0456185868902657,0.0005,0.982,0.06185795260273081
85,0.9885333333333333,0.04068716885982889,0.0005,0.974,0.08890074422905804
86,0.9921333333333331,0.025529160728526953,0.0005,0.968,0.11103647157916458
87,0.9891999999999997,0.040959710376816956,0.0005,0.98,0.08202758470338456
88,0.9910666666666667,0.025332518365479884,0.0005,0.966,0.10849763441429817
89,0.9905333333333332,0.03286682475005911,0.0005,0.97,0.06899433953539029
90,0.9902666666666664,0.028954586498961866,0.0005,0.98,0.08975306037497971
91,0.9924,0.022465689160138042,0.0005,0.986,0.028511746864099286
92,0.990933333333333,0.024814167861926074,0.0005,0.986,0.03638312733611628
93,0.9928,0.021355160444421647,0.0005,0.978,0.07493740314988429
94,0.991466666666666,0.023079660487979093,0.0005,0.978,0.06621953265896799
95,0.9865333333333334,0.04374954467552847,0.0005,0.97,0.10239847892748338
96,0.9919999999999998,0.027059025856437696,0.0005,0.982,0.05356810301566084
97,0.9873333333333331,0.038994916383325855,0.0005,0.962,0.1340819676483852
98,0.9882666666666663,0.031826117178957676,0.0005,0.958,0.10430804169178312
99,0.9923999999999996,0.023641611750702354,0.0005,0.984,0.07226721498743537
100,0.9926666666666664,0.0255452950350203,0.0005,0.978,0.10022724837618265
