epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.3966666666666667,165.61940100041656,0.001,0.406,35.640433643041575
2,0.44786666666666675,15.747805797532536,0.001,0.446,8.401804005549202
3,0.47159999999999974,4.975143878783297,0.001,0.448,4.093660456996539
4,0.48359999999999986,2.589629985558261,0.001,0.444,2.877946440515316
5,0.4738666666666667,1.7775686437494735,0.001,0.47,1.866854845925487
6,0.5065333333333334,1.2983293391527309,0.001,0.4,1.8607620695292673
7,0.5034666666666667,1.146903441081555,0.001,0.434,1.4576282653218213
8,0.5134666666666667,1.0789793931523415,0.001,0.472,1.5177165690507124
9,0.5270666666666667,0.9893222806812833,0.001,0.428,1.5390294369574378
10,0.5237333333333334,0.9650968289943185,0.001,0.432,1.343126131891002
11,0.5306666666666668,0.9432771997059923,0.001,0.524,1.321764554309505
12,0.5539999999999999,0.8953280154235241,0.001,0.508,1.3404022177448156
13,0.5590666666666663,0.9003248513941948,0.001,0.47,1.1951113711195152
14,0.5571999999999999,0.8832324127921213,0.001,0.51,1.3286167543171985
15,0.5749333333333332,0.8623562282900796,0.001,0.512,1.2850591708490224
16,0.5849333333333331,0.8592291760417196,0.001,0.534,1.2678917141420345
17,0.5944,0.8139699471714809,0.001,0.574,1.0415871039380746
18,0.6096000000000003,0.8017338299236707,0.001,0.578,1.123888990726895
19,0.6018666666666668,0.8022634052061351,0.001,0.564,0.9958294045444117
20,0.5996000000000001,0.8196894032623356,0.001,0.582,1.2682818936117197
21,0.6297333333333333,0.7797213710120817,0.001,0.606,1.1703892846235902
22,0.6044000000000002,0.8155417403962035,0.001,0.67,0.8654598939027841
23,0.6447999999999999,0.7415234388923991,0.001,0.616,1.0092021586506001
24,0.6385333333333328,0.7500639244358156,0.001,0.59,1.113568402595445
25,0.6269333333333332,0.7788015933217255,0.001,0.646,1.0603019829406555
26,0.6499999999999999,0.7456993297730647,0.001,0.638,1.1874664994675352
27,0.6679999999999999,0.7090275002843485,0.001,0.63,0.9551615882917843
28,0.6735999999999999,0.6718912697152986,0.001,0.61,0.9178017920800612
29,0.6658666666666667,0.7159603305482615,0.001,0.646,1.070277412700382
30,0.6753333333333329,0.6916883042209614,0.0005,0.666,1.0051320757163948
31,0.6767999999999996,0.6812986291700349,0.0005,0.64,1.0228728231396687
32,0.6869333333333334,0.6667636925409159,0.0005,0.678,0.8879228098579777
33,0.6939999999999997,0.6311153895948493,0.0005,0.638,0.9854382977066345
34,0.7112000000000002,0.6065258611028274,0.0005,0.67,0.9426044692844413
35,0.6772000000000001,0.6881732591195214,0.0005,0.682,1.0784465837266208
36,0.7073333333333336,0.6259986959015833,0.0005,0.678,0.9105956501281762
37,0.7131999999999998,0.6054621377945282,0.0005,0.66,1.1658950072511163
38,0.7158666666666668,0.6019826952617263,0.0005,0.676,0.9435053443389245
39,0.6938666666666667,0.6439947305949544,0.0005,0.666,1.0698957889898864
40,0.6411999999999999,0.7693057516047298,0.0005,0.542,1.1477741799997658
41,0.6754666666666665,0.7039624625163989,0.0005,0.626,1.2415540584938933
42,0.7206666666666669,0.5920656002873099,0.0005,0.678,0.9954656069232011
43,0.7092,0.5978616053492655,0.0005,0.68,0.9112372954443668
44,0.7341333333333334,0.5794429726524868,0.0005,0.678,1.1714842179544065
45,0.7254666666666667,0.573879554882929,0.0005,0.684,1.2458905255960404
46,0.7496000000000003,0.5285917998483862,0.0005,0.658,0.9323811581298755
47,0.7320000000000002,0.5908352817932666,0.0005,0.702,1.0209196052354799
48,0.7374666666666664,0.5709351883724981,0.0005,0.678,1.336810021395761
49,0.7314666666666664,0.590980649572427,0.0005,0.654,1.9025649282571462
50,0.7372,0.5802410517269917,0.0005,0.676,1.444047601617026
51,0.7626666666666668,0.5214012898379997,0.0005,0.66,1.5894690013354995
52,0.5606666666666665,0.9657769664409602,0.0005,0.554,0.9933259077398839
53,0.6301333333333335,0.7821340741280367,0.0005,0.566,1.032146173959402
54,0.6833333333333335,0.6980279649705845,0.0005,0.6,0.9895181053699768
55,0.6802666666666662,0.6962837638921706,0.0005,0.61,1.268050469137195
56,0.7276000000000002,0.5905554015369759,0.0005,0.652,1.4611391366618527
57,0.702933333333333,0.6442938815175822,0.0005,0.642,1.033104856985049
58,0.7125333333333336,0.6453610670614595,0.0005,0.692,1.2557319389069272
59,0.6985333333333333,0.623543357846706,0.0005,0.662,1.4255454441680038
60,0.7327999999999997,0.5767751787271241,0.00025,0.67,1.3314735936769246
