epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
68,0.4200000000000001,1.4473267838024648,0.0005,0.352,1.5000613406937482
69,0.3960000000000001,1.466255990637552,0.0005,0.368,1.4932086765498003
70,0.43506666666666677,1.4217745733721197,0.0005,0.344,1.4981782938970545
71,0.40746666666666687,1.4609343796656498,0.0005,0.364,1.494142645538799
72,0.39266666666666644,1.4713155024657238,0.0005,0.396,1.4719600110240196
73,0.4041333333333333,1.4580544853634472,0.0005,0.404,1.4809540267575143
74,0.39666666666666656,1.4677630977291216,0.0005,0.348,1.5143482813498357
75,0.38653333333333323,1.4736079694502022,0.0005,0.346,1.5234720231441197
76,0.3993333333333332,1.465415547077153,0.0005,0.378,1.4866684247835542
77,0.37919999999999976,1.4731120541605844,0.0005,0.382,1.5066304689525385
78,0.4185333333333333,1.444389367752972,0.0005,0.384,1.480147224177961
79,0.40466666666666645,1.4506767963549267,0.00025,0.376,1.4712137502208023
80,0.3949333333333332,1.4647689890003224,0.00025,0.406,1.4484481268237899
81,0.41053333333333325,1.4556254248838474,0.00025,0.378,1.4955844592013998
82,0.3970666666666664,1.4580543597478783,0.00025,0.416,1.4555497764158918
83,0.40293333333333314,1.4624897565876378,0.00025,0.402,1.4640427544503403
84,0.4077333333333334,1.4519799211730324,0.00025,0.358,1.498751985310625
85,0.4226666666666665,1.454043855156454,0.00025,0.4,1.463542316700756
86,0.41266666666666674,1.445207199168877,0.00025,0.36,1.4788605022194354
87,0.43399999999999983,1.4362282018757742,0.00025,0.354,1.4799511345921195
88,0.42453333333333343,1.4395356800659256,0.00025,0.374,1.4897780894768606
89,0.40746666666666675,1.4499226945280352,0.00025,0.39,1.468526046403541
90,0.42893333333333317,1.4358376111678566,0.00025,0.406,1.466023303776024
91,0.4098666666666664,1.4492059960832262,0.00025,0.396,1.479141600916595
92,0.4025333333333331,1.4580040364854063,0.00025,0.41,1.471708172147399
93,0.4142666666666666,1.4485996270077401,0.00025,0.378,1.4852341232037722
94,0.4001333333333333,1.4484469242188773,0.00025,0.35,1.5166843050658523
95,0.4344000000000003,1.4244255228041587,0.00025,0.382,1.485477749004047
96,0.42840000000000006,1.4365751328644132,0.00025,0.372,1.4799436735372686
97,0.4040000000000001,1.4598464631302388,0.00025,0.348,1.5028462653841113
98,0.40826666666666667,1.4450204659571597,0.00025,0.398,1.4742681817245795
99,0.39799999999999996,1.4567105776115306,0.000125,0.39,1.4559244404008878
100,0.4218666666666664,1.442839837754165,0.000125,0.402,1.4591099365376874
101,0.4097333333333332,1.4412159704605485,0.000125,0.356,1.483599091589526
102,0.40293333333333364,1.4495147368081727,0.000125,0.39,1.4801660804352055
103,0.42533333333333334,1.4305706269295555,0.000125,0.432,1.4545589063741757
104,0.42493333333333333,1.4340775786057602,0.000125,0.396,1.472007556061381
105,0.4138666666666667,1.4403736152797484,0.000125,0.372,1.4728187512128925
106,0.4316,1.424894898239906,0.000125,0.368,1.4783078069456386
107,0.4093333333333332,1.4423645138855212,0.000125,0.408,1.4624643409782703
108,0.44066666666666643,1.4168639144601785,0.000125,0.404,1.4522632396190367
109,0.4423999999999998,1.414817874922805,0.000125,0.4,1.4661317588283802
110,0.41826666666666673,1.4422404265624786,0.000125,0.376,1.494492073031822
111,0.42,1.4401534443376507,0.000125,0.388,1.4735638309841192
112,0.4177333333333332,1.4418540511832518,0.000125,0.414,1.4602738244106037
113,0.43613333333333365,1.432115142425301,0.000125,0.37,1.4863376864166136
114,0.4078666666666667,1.4394725162794955,0.000125,0.39,1.4778991946366853
115,0.4166666666666665,1.4319775701860382,0.000125,0.42,1.452620939784187
116,0.43653333333333344,1.4258542945594084,0.000125,0.416,1.44748953865244
117,0.4189333333333334,1.4321345437388802,0.000125,0.424,1.4576992999380298
118,0.42079999999999984,1.4278934226539668,0.000125,0.38,1.4833410836342784
119,0.4217333333333331,1.4325597504722838,0.000125,0.416,1.479268139135563
120,0.43733333333333335,1.420865960559163,0.000125,0.406,1.4631850191112379
121,0.43266666666666664,1.4231513653616983,0.000125,0.39,1.4693041155574802
122,0.4398666666666668,1.4243940286655354,0.000125,0.406,1.452768619712827
123,0.426,1.4313142428113241,0.000125,0.378,1.4777748257769825
124,0.4439999999999998,1.4157963048435576,0.000125,0.384,1.4697839193691524
125,0.41440000000000005,1.4353369884211873,0.000125,0.404,1.4612875456391448
126,0.4311999999999999,1.4179964504510318,0.000125,0.414,1.4667829349535655
127,0.43133333333333346,1.4172926082015973,0.000125,0.418,1.4521888273491415
128,0.44199999999999995,1.4233213361931296,0.000125,0.364,1.4792804476271824
129,0.41533333333333317,1.438394393872361,0.000125,0.404,1.4656354745529596
130,0.43866666666666676,1.413915360826297,0.000125,0.378,1.4883427847229789
131,0.4271999999999998,1.4301122708708705,0.000125,0.382,1.4603552140407998
132,0.43146666666666655,1.4321789183481366,0.000125,0.424,1.442397299508033
133,0.43653333333333344,1.4216071426321266,0.000125,0.414,1.4686496335074686
134,0.43933333333333324,1.4271481861267301,0.000125,0.424,1.4560407324732567
135,0.40386666666666665,1.4421595219354861,0.000125,0.378,1.4702081467105743
136,0.4213333333333333,1.4371771714991164,0.000125,0.376,1.484744968615972
137,0.41453333333333325,1.4468693273522535,0.000125,0.406,1.451829311164946
138,0.4093333333333332,1.4363087441907607,0.000125,0.376,1.4846016655118743
139,0.39639999999999964,1.4448222008586236,0.000125,0.384,1.4635010199951448
140,0.4342666666666667,1.4243404413623721,0.000125,0.384,1.4753652288158754
141,0.4181333333333333,1.4429041460932175,0.000125,0.414,1.4567445004997073
142,0.43359999999999993,1.41668695658225,0.000125,0.426,1.4562236386670488
143,0.4108000000000001,1.4429243555561866,0.000125,0.372,1.465622999485178
144,0.42186666666666667,1.4311304602853285,0.000125,0.364,1.4711323300310701
145,0.43946666666666667,1.4150110364811632,0.000125,0.43,1.4544807374285789
146,0.43226666666666647,1.4303722919446225,0.000125,0.402,1.4591058160203922
147,0.4359999999999998,1.4152337401513415,0.000125,0.376,1.4827906531654633
148,0.44146666666666673,1.414223180632748,0.000125,0.418,1.4463592007238695
149,0.4209333333333333,1.4234422741592616,0.000125,0.364,1.4852069101706489
150,0.4433333333333332,1.4160294743594286,0.000125,0.412,1.4686265816412563
151,0.43160000000000004,1.4252612588911646,0.000125,0.384,1.4622702254024236
152,0.40559999999999996,1.439624182553335,0.000125,0.388,1.4846982899529662
153,0.42986666666666684,1.4253902060921635,0.000125,0.404,1.463748593518816
154,0.44226666666666664,1.4049697007811728,0.000125,0.386,1.4645674878582708
155,0.42680000000000007,1.4219310942859595,0.000125,0.424,1.4303359294926206
156,0.4257333333333332,1.4200991724204886,0.000125,0.386,1.4751003848535034
